frame_index,timestamp,object_id,label,x_pixel,y_pixel,object_number,x_m,y_m,inside_pool
33,1458333,1,Object 2,356.5,250.0,2,5.722775462477007,4.207326593120226,True
34,1500000,1,Object 2,360.5,250.5,2,5.6758998201295086,4.241360786050564,True
35,1541666,1,Object 2,362.0,250.0,2,5.649381468928429,4.217744561895,True
36,1583333,1,Object 2,367.0,248.5,2,5.562880473319462,4.147618823530711,True
37,1625000,1,Object 2,371.0,247.5,2,5.4960368190365365,4.1019423649335955,True
38,1666666,1,Object 2,375.5,248.0,2,5.442320539841801,4.13711509792202,True
39,1708333,1,Object 2,376.5,249.0,2,5.442258417896326,4.19220371833785,True
40,1750000,1,Object 2,383.5,250.0,2,5.36185782477822,4.258557334193367,True
41,1791666,1,Object 2,388.5,250.0,2,5.294850016634403,4.268068810802777,True
42,1833333,1,Object 2,390.5,250.5,2,5.2748117291877135,4.29835927451739,True
43,1875000,1,Object 2,392.5,251.0,2,5.25479386310097,4.328618868704652,True
44,1916666,1,Object 2,395.0,250.5,2,5.2144823862519285,4.306932656363413,True
45,1958333,1,Object 2,395.0,249.5,2,5.200827723731791,4.253922036880591,True
46,2000000,1,Object 2,397.0,247.5,2,5.1464662538546415,4.151274955959696,True
47,2041666,1,Object 2,398.5,248.5,2,5.140049583267453,4.207429516423201,True
48,2083333,1,Object 2,400.0,246.5,2,5.092175600712975,4.103532006106981,True
49,2125000,1,Object 2,401.0,245.5,2,5.064757297935665,4.051838229598102,True
50,2166666,1,Object 2,403.0,243.5,2,5.009684691515307,3.9480057265005204,True
51,2208333,1,Object 2,406.0,241.5,2,4.940686863529719,3.84546898770971,True
52,2250000,1,Object 2,405.0,241.5,2,4.954295153714241,3.843575688971429,True
53,2291666,1,Object 2,408.0,240.5,2,4.899218151827731,3.7949188245762775,True
54,2333333,1,Object 2,409.0,241.0,2,4.8927210040209745,3.823999428677699,True
55,2375000,1,Object 2,408.0,242.5,2,4.927670533977148,3.9034468130643982,True
56,2416666,1,Object 2,405.0,243.5,2,4.982552968929148,3.9517986528194537,True
57,2458333,1,Object 2,401.0,244.0,2,5.0438092321077495,3.971174666530579,True
58,2500000,1,Object 2,399.0,243.5,2,5.06392182259015,3.9404235524876476,True
59,2541666,1,Object 2,398.0,244.0,2,5.08444802393829,3.965486726747894,True
60,2583333,1,Object 2,397.0,244.0,2,5.097989912202554,3.9635913592548806,True
61,2625000,1,Object 2,395.0,244.0,2,5.125067128391891,3.9598015424756356,True
62,2666666,1,Object 2,397.0,244.0,2,5.097989912202554,3.9635913592548806,True
63,2708333,1,Object 2,400.0,243.5,2,5.050365827754292,3.942318636348577,True
64,2750000,1,Object 2,400.5,244.5,2,5.057570998308149,3.9971502371792735,True
65,2791666,1,Object 2,397.5,244.5,2,5.0981773610191885,3.9914600810232383,True
66,2833333,1,Object 2,400.5,243.0,2,5.036580809056176,3.9162695872683733,True
67,2875000,1,Object 2,399.5,244.5,2,5.071108637602794,3.995253212269193,True
68,2916666,1,Object 2,398.5,242.0,2,5.049710448454614,3.8583815951615756,True
69,2958333,1,Object 2,399.5,242.0,2,5.036126276830491,3.860273812587304,True
70,3000000,1,Object 2,400.0,239.5,2,4.994088461760045,3.7253199977282385,True
71,3041666,1,Object 2,402.0,238.0,2,4.94549157579591,3.647106060735815,True
72,3083333,1,Object 2,400.5,230.5,2,4.858288805211415,3.2292641976659393,True
73,3125000,1,Object 2,403.0,227.5,2,4.779880990875123,3.065509444496133,True
74,3166666,1,Object 2,404.5,221.5,2,4.670046845269986,2.7271938475838606,True
75,3208333,1,Object 2,408.0,218.5,2,4.575712973392601,2.560949517659196,True
